" 44030","Chapelle-des-Marais"," 188372"," 1"," 6201","Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44030","Chapelle-des-Marais"," 188372"," 1"," 2204","Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44030","Chapelle-des-Marais"," 188381"," 1"," 6201","Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44030","Chapelle-des-Marais"," 188381"," 1"," 2204","Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44030","Chapelle-des-Marais"," 188381"," 1"," 2608","Randonnée équestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44030","Chapelle-des-Marais"," 319698"," 1"," 5501","Pêche au coup en eau douce","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 72337"," 1"," 2901","Football / Football en salle (Futsal)","Oui","Non","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 169039"," 1"," 2601","Equitation","Oui","Oui","Non","Entrainement"
" 44031","Chapelle-Glain"," 169039"," 1"," 2603","Dressage","Oui","Oui","Non","Entrainement"
" 44031","Chapelle-Glain"," 169046"," 1"," 2603","Dressage","Oui","Oui","Non","Entrainement"
" 44031","Chapelle-Glain"," 169046"," 1"," 2601","Equitation","Oui","Oui","Non","Entrainement"
" 44031","Chapelle-Glain"," 169054"," 1"," 2604","Saut d'obstacle","Oui","Oui","Non","Entrainement"
" 44031","Chapelle-Glain"," 169062"," 1"," 2601","Equitation","Oui","Oui","Non","Entrainement"
" 44031","Chapelle-Glain"," 207370"," 1"," 2608","Randonnée équestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 207370"," 1"," 6201","Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 207370"," 1"," 2204","Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 274591"," 1"," 5501","Pêche au coup en eau douce","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 307224"," 1"," 6001","Pétanque et jeu provencal","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 343710"," 1"," 6001","Pétanque et jeu provencal","Oui","Non","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 344362"," 1"," 1101","Basket-Ball","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 344362"," 1"," 8801","Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Non","Non",""
" 44031","Chapelle-Glain"," 344362"," 1"," 3701","Handball / Mini hand / Handball de plage","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 344362"," 1"," 2901","Football / Football en salle (Futsal)","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 344362"," 1"," 3801","Hockey en salle / Hockey sur gazon","Oui","Non","Non",""
" 44031","Chapelle-Glain"," 344362"," 1"," 7901","Tennis","Oui","Non","Non",""
" 44031","Chapelle-Glain"," 344362"," 1"," 701","Badminton, Jeu de volant","Oui","Non","Non",""
" 44031","Chapelle-Glain"," 344363"," 1"," 8001","Tennis de table","Oui","Non","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 344363"," 1"," 3401","Gymnastique Artistique","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 344363"," 1"," 701","Badminton, Jeu de volant","Oui","Non","Non",""
" 44031","Chapelle-Glain"," 344363"," 1"," 8801","Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Non","Non","Loisir - Entretien - Remise en forme"
" 44031","Chapelle-Glain"," 344364"," 1"," 6001","Pétanque et jeu provencal","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44032","Chapelle-Heulin"," 73576"," 1"," 503","Course sur piste","Oui","Oui","Non","Entrainement"
" 44032","Chapelle-Heulin"," 73576"," 1"," 506","Marche","Oui","Oui","Non","Entrainement"
" 44032","Chapelle-Heulin"," 73577"," 1"," 2901","Football / Football en salle (Futsal)","Oui","Oui","Non","Compétition départementale"
" 44032","Chapelle-Heulin"," 73578"," 1"," 2901","Football / Football en salle (Futsal)","Oui","Oui","Non","Compétition départementale"
" 44032","Chapelle-Heulin"," 73579"," 1"," 8201","Tir à l'arc","Oui","Oui","Non","Entrainement"
" 44032","Chapelle-Heulin"," 73579"," 1"," 1101","Basket-Ball","Oui","Oui","Non","Compétition départementale"
" 44032","Chapelle-Heulin"," 73579"," 1"," 8801","Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Oui","Non","Compétition départementale"
" 44032","Chapelle-Heulin"," 73579"," 1"," 701","Badminton, Jeu de volant","Oui","Oui","Non","Compétition départementale"
" 44032","Chapelle-Heulin"," 73579"," 1"," 7901","Tennis","Oui","Oui","Non","Compétition départementale"
" 44032","Chapelle-Heulin"," 73580"," 1"," 8001","Tennis de table","Oui","Oui","Non","Compétition régionale"
" 44032","Chapelle-Heulin"," 73580"," 1"," 4401","Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...","Oui","Oui","Non","Entrainement"
" 44032","Chapelle-Heulin"," 73580"," 1"," 101","Aéromodélisme","Oui","Oui","Non","Entrainement"
" 44032","Chapelle-Heulin"," 73580"," 1"," 8201","Tir à l'arc","Oui","Oui","Non","Compétition départementale"
" 44032","Chapelle-Heulin"," 73580"," 1"," 3501","Gymnastique volontaire","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44032","Chapelle-Heulin"," 73582"," 2"," 7901","Tennis","Oui","Oui","Non","Entrainement"
" 44032","Chapelle-Heulin"," 73583"," 1"," 1101","Basket-Ball","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44032","Chapelle-Heulin"," 207569"," 1"," 3501","Gymnastique volontaire","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
" 44032","Chapelle-Heulin"," 292139"," 1"," 1201","Billard (Français (carambole),Snooker,Anglais,Américain)","Oui","Oui","Non","Compétition régionale"
